,time,4T,5S,5W,4W,4S,direction
738,1681813017.5,0,0,0,0,0,0
739,1681813067.5,0,0,0,0,0,0
740,1681813117.5,0,0,0,0,0,0
741,1681813167.5,0,0,0,0,0,0
742,1681813217.5,0,0,0,0,0,0
743,1681813267.5,0,0,0,0,0,0
744,1681813317.5,0,0,0,0,0,0
745,1681813367.5,0,0,0,0,0,0
746,1681813417.5,0,0,0,0,0,0
747,1681813467.5,0,0,0,0,0,0
748,1681813517.5,0,0,0,0,0,0
749,1681813567.5,0,0,0,0,0,0
750,1681813617.5,0,0,0,0,0,1
751,1681813667.5,0,0,0,0,0,1
752,1681813717.5,0,0,0,0,0,1
753,1681813767.5,0,0,0,0,0,1
754,1681813817.5,0,0,0,0,0,1
755,1681813867.5,0,0,0,0,0,1
756,1681813917.5,0,0,0,0,0,1
757,1681813967.5,0,0,0,0,0,1
758,1681814017.5,0,0,0,0,0,1
759,1681814067.5,0,0,0,0,0,1
760,1681814117.5,0,0,0,0,0,1
761,1681814167.5,0,0,0,0,0,1
762,1681814217.5,0,0,0,0,0,1
763,1681814267.5,0,0,0,0,0,1
764,1681814317.5,0,0,0,0,0,1
765,1681814367.5,0,0,0,0,0,1
766,1681814417.5,0,0,0,0,0,1
767,1681814467.5,0,0,0,0,0,1
768,1681814517.5,0,0,0,0,0,1
769,1681814567.5,0,0,0,0,0,1
770,1681814617.5,0,0,0,0,0,1
771,1681814667.5,0,0,0,0,0,1
772,1681814717.5,0,0,0,0,0,1
773,1681814767.5,0,0,0,0,0,1
774,1681814817.5,0,0,0,0,0,1
775,1681814867.5,0,0,0,0,0,1
776,1681814917.5,0,0,0,0,0,1
777,1681814967.5,0,0,0,0,0,1
778,1681815017.5,0,0,0,0,0,1
779,1681815067.5,0,0,0,0,0,1
780,1681815117.5,0,0,0,0,0,1
781,1681815167.5,0,0,0,0,0,1
782,1681815217.5,0,0,0,0,0,1
783,1681815267.5,0,0,0,0,0,1
784,1681815317.5,0,0,0,0,0,1
785,1681815367.5,0,0,0,0,0,1
786,1681815417.5,0,0,0,0,0,1
787,1681815467.5,0,0,0,0,0,1
788,1681815517.5,0,0,0,0,0,1
789,1681815567.5,0,0,0,0,0,1
790,1681815617.5,0,0,0,0,0,1
791,1681815667.5,0,0,0,0,0,1
792,1681815717.5,0,0,0,0,0,1
793,1681815767.5,0,0,0,0,0,1
794,1681815817.5,0,0,0,0,0,1
795,1681815867.5,0,0,0,0,0,1
796,1681815917.5,0,0,0,0,0,1
797,1681815967.5,0,0,0,0,0,1
798,1681816017.5,0,0,0,0,0,1
799,1681816067.5,0,0,0,0,0,1
800,1681816117.5,0,0,0,0,0,0
801,1681816167.5,0,0,0,0,0,0
802,1681816217.5,0,0,0,0,0,0
803,1681816267.5,0,0,0,0,0,0
804,1681816317.5,0,0,0,0,0,0
805,1681816367.5,0,0,0,0,0,0
806,1681816417.5,0,0,0,0,0,0
807,1681816467.5,0,0,0,0,0,0
808,1681816517.5,0,0,0,0,0,0
809,1681816567.5,0,0,0,0,0,0
810,1681816617.5,0,0,0,0,0,0
811,1681816667.5,0,0,0,0,0,0
812,1681816717.5,0,0,0,0,0,0
813,1681816767.5,0,0,0,0,0,0
814,1681816817.5,0,0,0,0,0,0
815,1681816867.5,0,0,0,0,0,0
816,1681816917.5,0,0,0,0,0,0
817,1681816967.5,0,0,0,0,0,0
818,1681817017.5,0,0,0,0,0,0
819,1681817067.5,0,0,0,0,0,0
820,1681817117.5,0,0,0,0,0,0
821,1681817167.5,0,0,0,0,0,0
822,1681817217.5,0,0,0,0,0,0
823,1681817267.5,0,0,0,0,0,0
824,1681817317.5,0,0,0,0,0,0
825,1681817367.5,0,0,0,0,0,0
826,1681817417.5,0,0,0,0,0,0
827,1681817467.5,0,0,0,0,0,0
828,1681817517.5,0,0,0,0,0,0
829,1681817567.5,0,0,0,0,0,0
830,1681817617.5,0,0,0,0,0,0
831,1681817667.5,0,0,0,0,0,0
832,1681817717.5,0,0,0,0,0,0
833,1681817767.5,0,0,0,0,0,0
834,1681817817.5,0,0,0,0,0,0
835,1681817867.5,0,0,0,0,0,0
836,1681817917.5,0,0,0,0,0,0
837,1681817967.5,0,0,0,0,0,0
838,1681818017.5,0,0,0,0,0,0
839,1681818067.5,0,0,0,0,0,0
840,1681818117.5,0,0,0,0,0,0
841,1681818167.5,0,0,0,0,0,0
842,1681818217.5,0,0,0,0,0,0
843,1681818267.5,0,0,0,0,0,0
844,1681818317.5,0,0,0,0,0,0
845,1681818367.5,0,0,0,0,0,0
846,1681818417.5,0,0,0,0,0,0
847,1681818467.5,0,0,0,0,0,0
848,1681818517.5,0,0,0,0,0,0
849,1681818567.5,0,0,0,0,0,0
850,1681818617.5,0,0,0,0,0,1
851,1681818667.5,0,0,0,0,0,1
852,1681818717.5,0,0,0,0,0,1
853,1681818767.5,0,0,0,0,0,1
854,1681818817.5,0,0,0,0,0,1
855,1681818867.5,0,0,0,0,0,1
856,1681818917.5,0,0,0,0,0,1
857,1681818967.5,0,0,0,0,0,1
858,1681819017.5,0,0,0,0,0,1
859,1681819067.5,0,0,0,0,0,1
860,1681819117.5,0,0,0,0,0,1
861,1681819167.5,0,0,0,0,0,1
862,1681819217.5,0,0,0,0,0,1
863,1681819267.5,0,0,0,0,0,1
864,1681819317.5,0,0,0,0,0,1
865,1681819367.5,0,0,0,0,0,1
866,1681819417.5,0,0,0,0,0,1
867,1681819467.5,0,0,0,0,0,1
868,1681819517.5,0,0,0,0,0,1
869,1681819567.5,0,0,0,0,0,1
870,1681819617.5,0,0,0,0,0,1
871,1681819667.5,0,0,0,0,0,1
872,1681819717.5,0,0,0,0,0,1
873,1681819767.5,0,0,0,0,0,1
874,1681819817.5,0,0,0,0,0,1
875,1681819867.5,0,0,0,0,0,1
876,1681819917.5,0,0,0,0,0,1
877,1681819967.5,0,0,0,0,0,1
878,1681820017.5,0,0,0,0,0,1
879,1681820067.5,0,0,0,0,0,1
880,1681820117.5,0,0,0,0,0,1
881,1681820167.5,0,0,0,0,0,1
882,1681820217.5,0,0,0,0,0,1
883,1681820267.5,0,0,0,0,0,1
884,1681820317.5,0,0,0,0,0,1
885,1681820367.5,0,0,0,0,0,1
886,1681820417.5,0,0,0,0,0,1
887,1681820467.5,0,0,0,0,0,1
888,1681820517.5,0,0,0,0,0,1
889,1681820567.5,0,0,0,0,0,1
890,1681820617.5,0,0,0,0,0,1
891,1681820667.5,0,0,0,0,0,1
892,1681820717.5,0,0,0,0,0,1
893,1681820768.18,0,0,0,0,0,1
894,1681820822.6,0,0,0,0,0,1
895,1681820875.68,0,0,0,0,0,1
896,1681820926.5,0,0,0,0,0,1
897,1681820976.5,0,0,0,0,0,1
898,1681821026.5,0,0,0,0,0,1
899,1681821076.5,0,0,0,0,0,1
900,1681821126.5,0,0,0,0,0,0
901,1681821176.5,0,0,0,0,0,0
902,1681821226.5,0,0,0,0,0,0
903,1681821276.5,0,0,0,0,0,0
904,1681821326.5,0,0,0,0,0,0
905,1681821376.5,0,0,0,0,0,0
906,1681821426.5,0,0,0,0,0,0
907,1681821476.5,0,0,0,0,0,0
908,1681821526.5,0,0,0,0,0,0
909,1681821576.5,0,0,0,0,0,0
910,1681821626.5,0,0,0,0,0,0
911,1681821676.5,0,0,0,0,0,0
912,1681821726.5,0,0,0,0,0,0
913,1681821776.5,0,0,0,0,0,0
914,1681821826.5,0,0,0,0,0,0
915,1681821876.5,0,0,0,0,0,0
916,1681821926.5,0,0,0,0,0,0
917,1681821976.5,0,0,0,0,0,0
918,1681822026.5,0,0,0,0,0,0
919,1681822076.5,0,0,0,0,0,0
920,1681822126.5,0,0,0,0,0,0
921,1681822176.5,0,0,0,0,0,0
922,1681822226.5,0,0,0,0,0,0
923,1681822276.5,0,0,0,0,0,0
924,1681822326.5,0,0,0,0,0,0
925,1681822376.5,0,0,0,0,0,0
926,1681822426.5,0,0,0,0,0,0
927,1681822476.5,0,0,0,0,0,0
928,1681822526.5,0,0,0,0,0,0
